2026-03-06 13:46:49.756 [main] INFO  com.afeng.plagchenckpro.PlagChenckProApplication - Starting PlagChenckProApplication using Java 17 with PID 4212 (D:\install_all\IntelliJ IDEA 2025.3\IdeaProjects\plagChenckPro\target\classes started by 谢霄峰 in D:\install_all\IntelliJ IDEA 2025.3\IdeaProjects\plagChenckPro)
2026-03-06 13:56:17.586 [http-nio-8090-exec-10] INFO  c.a.p.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzUxMiIsInppcCI6IkdaSVAifQ.H4sIAAAAAAAA_y2LQQrEIAwA_5JzBW3VmP4mUgsuLAix4LL0743Q2wzD_OHTK-zgiPAsnoxNkY0nZw2lkI0PcSsZ2R4YYIHKHXaHuCLGENcF5Mp6y096-c4uojrGqczXocytKZfR3i9ZN7-qbbsfXUQEcH4AAAA.SteeSVG4T_Vilrs8Flr7xXSqDo0TUZrUlCvXikLWwZJTWG9kvuHvMHklO59CDFm4iZa_FW8ohDfzz_Ktq02oUA
2026-03-06 13:56:17.598 [http-nio-8090-exec-10] INFO  c.a.p.interceptor.JwtTokenUserInterceptor - 当前用户id：3
2026-03-06 13:56:17.598 [http-nio-8090-exec-10] INFO  c.a.plagchenckpro.controller.FeedbackController - 获取反馈
2026-03-06 13:56:23.858 [http-nio-8090-exec-2] INFO  c.a.p.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzUxMiIsInppcCI6IkdaSVAifQ.H4sIAAAAAAAA_y2LQQrEIAwA_5JzBW3VmP4mUgsuLAix4LL0743Q2wzD_OHTK-zgiPAsnoxNkY0nZw2lkI0PcSsZ2R4YYIHKHXaHuCLGENcF5Mp6y096-c4uojrGqczXocytKZfR3i9ZN7-qbbsfXUQEcH4AAAA.SteeSVG4T_Vilrs8Flr7xXSqDo0TUZrUlCvXikLWwZJTWG9kvuHvMHklO59CDFm4iZa_FW8ohDfzz_Ktq02oUA
2026-03-06 13:56:23.860 [http-nio-8090-exec-2] INFO  c.a.p.interceptor.JwtTokenUserInterceptor - 当前用户id：3
2026-03-06 13:56:23.866 [http-nio-8090-exec-2] INFO  c.afeng.plagchenckpro.controller.PaperController - 分页查询：,,10,1
2026-03-06 13:57:16.148 [http-nio-8090-exec-3] INFO  c.a.p.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzUxMiIsInppcCI6IkdaSVAifQ.H4sIAAAAAAAA_y2LQQrEIAwA_5JzBW3VmP4mUgsuLAix4LL0743Q2wzD_OHTK-zgiPAsnoxNkY0nZw2lkI0PcSsZ2R4YYIHKHXaHuCLGENcF5Mp6y096-c4uojrGqczXocytKZfR3i9ZN7-qbbsfXUQEcH4AAAA.SteeSVG4T_Vilrs8Flr7xXSqDo0TUZrUlCvXikLWwZJTWG9kvuHvMHklO59CDFm4iZa_FW8ohDfzz_Ktq02oUA
2026-03-06 13:57:16.152 [http-nio-8090-exec-3] INFO  c.a.p.interceptor.JwtTokenUserInterceptor - 当前用户id：3
2026-03-06 13:57:16.152 [http-nio-8090-exec-3] INFO  c.afeng.plagchenckpro.controller.PaperController - 分页查询：,,10,1
2026-03-06 13:57:36.536 [http-nio-8090-exec-4] INFO  c.a.p.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzUxMiIsInppcCI6IkdaSVAifQ.H4sIAAAAAAAA_y2LQQrEIAwA_5JzBW3VmP4mUgsuLAix4LL0743Q2wzD_OHTK-zgiPAsnoxNkY0nZw2lkI0PcSsZ2R4YYIHKHXaHuCLGENcF5Mp6y096-c4uojrGqczXocytKZfR3i9ZN7-qbbsfXUQEcH4AAAA.SteeSVG4T_Vilrs8Flr7xXSqDo0TUZrUlCvXikLWwZJTWG9kvuHvMHklO59CDFm4iZa_FW8ohDfzz_Ktq02oUA
2026-03-06 13:57:36.540 [http-nio-8090-exec-4] INFO  c.a.p.interceptor.JwtTokenUserInterceptor - 当前用户id：3
2026-03-06 13:57:36.540 [http-nio-8090-exec-4] INFO  c.a.plagchenckpro.controller.FeedbackController - 获取反馈
2026-03-06 13:58:16.706 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-06 13:58:16.716 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
